"min","max","age","susceptible","resistant","paper_dataset","dataset","paper"
14,28,"21",206,44,"A10","A","10"
28,54,"41",160,94,"A10","A","10"
54,65,"59.5",148,82,"A10","A","10"
66,90,"78",190,88,"A10","A","10"
NA,34,"<35",15,34,"A100","A","100"
35,NA,">34",13,21,"A100","A","100"
0,4,"2",14,23,"A101","A","101"
25,70,"47.5",51,16,"A101","A","101"
71,NA,">70",11,12,"A101","A","101"
NA,15,"<16",736,741,"A102","A","102"
16,NA,">15",2539,1286,"A102","A","102"
NA,65,"<66",148,39,"A103","A","103"
66,NA,">65",210,39,"A103","A","103"
16,39,"27.5",24,21,"A104","A","104"
40,79,"59.5",38,9,"A104","A","104"
18,64,"41",41,8,"A105","A","105"
65,NA,">64",20,11,"A105","A","105"
NA,4,"<5",56,6,"A106","A","106"
5,14,"9.5",105,10,"A106","A","106"
15,NA,">14",273,33,"A106","A","106"
18,54,"36",265,96,"A107","A","107"
55,81,"68",11,6,"A107","A","107"
0,30,"15",5106,112,"A11","A","11"
31,60,"45.5",5995,142,"A11","A","11"
61,NA,">60",18711,621,"A11","A","11"
NA,44,"<45",258,33,"A110","A","110"
45,NA,">44",325,21,"A110","A","110"
7,29,"16",19,9,"A111","A","111"
30,39,"34.5",25,36,"A111","A","111"
40,49,"44.5",54,39,"A111","A","111"
50,59,"54.5",30,39,"A111","A","111"
60,88,"76.5",69,32,"A111","A","111"
18,50,"34",214,57,"A112","A","112"
51,65,"58",165,78,"A112","A","112"
18,39,"28.5",953,77,"A114","A","114"
40,65,"52.5",1885,222,"A114","A","114"
66,87,"76.5",373,61,"A114","A","114"
16,65,"40.5",330,37,"A116","A","116"
66,NA,">65",187,52,"A116","A","116"
0,17,"8.5",31,12,"A117","A","117"
18,64,"41",42,5,"A117","A","117"
65,NA,">64",14,5,"A117","A","117"
0,14,"7",472,103,"A118","A","118"
15,39,"27",8754,1548,"A118","A","118"
40,59,"49.5",6071,920,"A118","A","118"
60,NA,">59",7021,678,"A118","A","118"
15,29,"22",291,245,"A119","A","119"
30,39,"34.5",273,187,"A119","A","119"
40,49,"44.5",237,177,"A119","A","119"
50,59,"54.5",238,227,"A119","A","119"
60,69,"64.5",345,304,"A119","A","119"
70,79,"74.5",603,504,"A119","A","119"
80,NA,">79",990,625,"A119","A","119"
19,64,"41.5",241,35,"A12","A","12"
65,97,"81",33,12,"A12","A","12"
0,0,"0",3112,7,"A120","A","120"
1,19,"10",2561,27,"A120","A","120"
20,39,"29.5",7801,92,"A120","A","120"
40,49,"44.5",6256,53,"A120","A","120"
50,59,"54.5",14258,135,"A120","A","120"
60,69,"64.5",23630,184,"A120","A","120"
70,79,"74.5",46045,290,"A120","A","120"
80,NA,">79",49895,178,"A120","A","120"
0,20,"10",72,3,"A122","A","122"
21,40,"30.5",101,11,"A122","A","122"
41,60,"50.5",95,4,"A122","A","122"
61,NA,">60",63,0,"A122","A","122"
18,64,"41",59,23,"A123","A","123"
65,NA,">64",100,88,"A123","A","123"
NA,59,"<60",40,2,"A124","A","124"
60,NA,">59",57,24,"A124","A","124"
0,5,"2.5",9,6,"A127","A","127"
5,10,"7.5",17,7,"A127","A","127"
10,15,"12.5",5,3,"A127","A","127"
15,20,"17.5",4,1,"A127","A","127"
20,25,"22.5",4,1,"A127","A","127"
25,30,"27.5",6,4,"A127","A","127"
30,35,"32.5",11,9,"A127","A","127"
35,40,"37.5",13,4,"A127","A","127"
40,45,"42.5",6,1,"A127","A","127"
45,50,"47.5",1,1,"A127","A","127"
50,55,"52.5",4,0,"A127","A","127"
55,60,"57.5",3,1,"A127","A","127"
60,65,"62.5",2,0,"A127","A","127"
65,70,"67.5",1,0,"A127","A","127"
70,75,"72.5",1,0,"A127","A","127"
18,30,"24",4,27,"A128","A","128"
31,40,"35.5",7,7,"A128","A","128"
41,50,"45.5",13,19,"A128","A","128"
51,60,"55.5",25,27,"A128","A","128"
61,75,"68",17,19,"A128","A","128"
NA,29,"<30",87,51,"A129","A","129"
30,39,"34.5",148,64,"A129","A","129"
40,49,"44.5",208,63,"A129","A","129"
50,59,"54.5",194,62,"A129","A","129"
60,NA,">59",129,31,"A129","A","129"
0,0,"0",6,5,"A13","A","13"
1,5,"3",22,16,"A13","A","13"
5,20,"12.5",163,116,"A13","A","13"
20,40,"30",68,54,"A13","A","13"
41,NA,">40",23,14,"A13","A","13"
NA,11,"<12",31,30,"A131","A","131"
12,19,"15.5",26,35,"A131","A","131"
20,49,"34.5",30,124,"A131","A","131"
50,NA,">49",0,67,"A131","A","131"
NA,49,"<50",44,22,"A132","A","132"
50,75,"62.5",94,57,"A132","A","132"
76,NA,">75",57,24,"A132","A","132"
25,47,"36",610,81,"A133","A","133"
48,65,"56.5",1000,166,"A133","A","133"
18,24,"21",46,7,"A134","A","134"
25,34,"29.5",38,13,"A134","A","134"
35,44,"39.5",16,1,"A134","A","134"
45,64,"54.5",11,4,"A134","A","134"
15,24,"19.5",8,18,"A135","A","135"
25,34,"29.5",4,68,"A135","A","135"
35,44,"39.5",186,20,"A135","A","135"
45,54,"49.5",57,32,"A135","A","135"
55,64,"59.5",180,35,"A135","A","135"
65,71,"68",48,36,"A135","A","135"
18,50,"34",91,87,"A136","A","136"
51,NA,">50",37,56,"A136","A","136"
NA,14,"<15",4,3,"A137","A","137"
15,65,"40",226,188,"A137","A","137"
64,NA,">65",90,37,"A137","A","137"
NA,60,"<61",26,13,"A138","A","138"
61,NA,">60",6,16,"A138","A","138"
0,14,"7",83,42,"A14","A","14"
15,65,"40",1958,1893,"A14","A","14"
66,98,"82",878,669,"A14","A","14"
20,64,"42",19,21,"A141","A","141"
65,75,"70",19,19,"A141","A","141"
76,83,"79.5",16,22,"A141","A","141"
84,97,"90.5",21,18,"A141","A","141"
0,60,"30",119,39,"A142","A","142"
61,92,"76.5",64,89,"A142","A","142"
0,3,"1.5",18,14,"A143","A","143"
4,10,"7",39,12,"A143","A","143"
11,16,"13.5",50,4,"A143","A","143"
