"id","mean","mode","lower","upper","variance"
"Intercept_All",-2.2285570837401,-2.15,-2.78162673822953,-1.62912652821615,0.0833670698918888
"Linear_All",1.93074829816517,1.75,0.207719810496201,3.60003341778065,0.763324596819633
"Quadratic_All",-1.13841748133675,-1.26,-2.85128184733367,0.525398885860341,0.752870264801382
"Intercept_Aminoglycosides",-2.51492026884347,-2.45,-3.31419702658327,-1.74265740125767,0.160426362218631
"Intercept_Amphenicols",-2.18292995698986,-2.23,-3.15343501269419,-1.27929180253828,0.234936716139213
"Intercept_Antimycobacterials",-2.43070600678334,-2.44,-3.51443096694382,-1.40144375422641,0.287775380468747
"Intercept_Antimycobacterials",-2.43070600678334,-2.39,-3.51443096694382,-1.40144375422641,0.287775380468747
"Intercept_Antimycobacterials",-2.43070600678334,-2.18,-3.51443096694382,-1.40144375422641,0.287775380468747
"Intercept_Carbapenems",-2.22232601740329,-2.27,-3.17328948120741,-1.400612700907,0.199517397410685
"Intercept_Cephalosporins",-1.99214255473175,-1.93,-2.75625849331615,-1.26523243956283,0.149300105726763
"Intercept_Glycopeptides",-2.83367295753782,-2.71,-4.01447909470777,-1.70973940666159,0.355485991767272
"Intercept_Imidazoles",-2.28784881981827,-2.35,-3.92857028703668,-0.703137406653251,0.668251924135232
"Intercept_Lincosamides",-1.92780861264504,-2.11,-2.90915182904217,-0.832731417785556,0.289275601657519
"Intercept_Macrolides",-1.87249434351724,-1.93,-2.70819910306599,-1.01032158418982,0.189133941002602
"Intercept_Monobactams",-2.3014509093779,-2.17,-3.42629042855268,-1.19595695804916,0.308823276373905
"Intercept_Nitrofurans",-1.65522780633104,-1.7,-2.83676679445264,-0.363705165397326,0.400017668953215
"Intercept_Other",-2.62395613327418,-2.76,-3.95214265373526,-1.52193747410682,0.380679512132212
"Intercept_Penicillins",-1.34737893690431,-1.54,-2.1245261538128,-0.529699969099372,0.167009469811462
"Intercept_Polymyxins",-2.24013536101178,-1.98,-3.56795967270086,-0.890320386937594,0.479821862695321
"Intercept_Quinolones",-3.0681444833972,-3.11,-3.88265953924391,-2.28689316497339,0.169014820973048
"Intercept_Steroins",-2.57983568694172,-2.66,-4.17045428306035,-1.25872400578877,0.542782630090514
"Intercept_Streptogramins",-2.4420098388362,-2.54,-4.08898013026862,-1.08488505622922,0.552703916813665
"Intercept_Sulfonamides and Trimethoprim",-1.83007273626106,-1.9,-2.59833763772453,-0.986328374873593,0.171359798780338
"Intercept_Tetracyclines",-2.03080672703093,-2.02,-2.8240034145193,-1.1450770764929,0.183683137052892
"Linear_Aminoglycosides",2.27787346891809,2.78,0.328353372138784,4.25519268891019,1.01055367852796
"Linear_Amphenicols",0.943150358117841,1.43,-1.58348741448834,3.50667679545716,1.69507745477137
"Linear_Antimycobacterials",2.35178171724539,2.3,-0.335824610673624,5.14386479972427,1.92380229389892
"Linear_Carbapenems",1.22731429078155,1.15,-1.19486487033742,3.32049687653652,1.30035204910367
"Linear_Cephalosporins",0.758021195359341,0.3,-1.04819414409175,2.55868921818933,0.88354873768176
"Linear_Cephalosporins",0.758021195359341,0.67,-1.04819414409175,2.55868921818933,0.88354873768176
"Linear_Glycopeptides",3.46913085286456,3.34,0.353060530686716,6.58001465847404,2.4260677247201
"Linear_Glycopeptides",3.46913085286456,3.43,0.353060530686716,6.58001465847404,2.4260677247201
"Linear_Imidazoles",3.82973151483069,3.41,0.123155642160729,8.05111645380291,4.16773856329556
"Linear_Lincosamides",2.06374008638934,2.06,-0.582019197295268,4.629309192377,1.75832467698769
"Linear_Macrolides",1.62314391658551,1.45,-0.449410193911431,3.77957061010716,1.17580869002607
"Linear_Monobactams",1.37019478313782,1.29,-1.75187479400723,4.21539659780052,2.27835278942965
"Linear_Nitrofurans",1.36381315966598,2.27,-1.53777728070895,4.17411980573028,2.15172870032335
"Linear_Other",1.15069922498155,0.97,-1.95767435126703,4.21426057027405,2.4132997690727
"Linear_Penicillins",0.472740853315841,0.45,-1.42341678286453,2.2387857611365,0.876269602984736
"Linear_Penicillins",0.472740853315841,0.5,-1.42341678286453,2.2387857611365,0.876269602984736
"Linear_Polymyxins",-0.349637267121825,-0.37,-3.87095808140211,3.19901951884352,3.25112451205211
"Linear_Quinolones",5.99976401466147,6.11,3.99783266187479,7.9064683869987,0.95260419153716
"Linear_Steroins",2.60182658764429,3.33,-1.31846286151364,6.58169455890967,3.94949972429121
"Linear_Streptogramins",2.30154169997946,1.34,-1.87438637038107,6.83109994579115,4.68103323074739
"Linear_Streptogramins",2.30154169997946,1.52,-1.87438637038107,6.83109994579115,4.68103323074739
"Linear_Sulfonamides and Trimethoprim",1.41706118079763,1.5,-0.510909907908255,3.44060321504906,1.05950715413946
"Linear_Tetracyclines",1.87129388403499,1.7,-0.393874742380965,4.05612049526843,1.30537290406012
"Linear_Tetracyclines",1.87129388403499,2.04,-0.393874742380965,4.05612049526843,1.30537290406012
"Quadratic_Aminoglycosides",-1.53732348200579,-1.89,-3.534547534678,0.279888536015869,0.949840628618314
"Quadratic_Amphenicols",-0.29807111641508,-0.15,-2.61915951651102,2.20942301466726,1.55636112240797
"Quadratic_Antimycobacterials",-1.40618569951634,-1.13,-3.99757692144298,1.01562183220332,1.61347824426024
"Quadratic_Carbapenems",-1.01539363634844,-1.37,-3.08583738972994,1.14097500885725,1.1454979191547
"Quadratic_Cephalosporins",0.0198116993675227,-0.09,-1.68964864344939,1.92382361157474,0.820269091528275
"Quadratic_Glycopeptides",-2.23667345631611,-2.21,-5.20241698950851,0.542706246820507,2.07525382982078
"Quadratic_Glycopeptides",-2.23667345631611,-2.2,-5.20241698950851,0.542706246820507,2.07525382982078
"Quadratic_Imidazoles",-3.185693960514,-2.95,-6.73735094515969,0.335946455334579,3.28050199923121
"Quadratic_Lincosamides",-1.14378361178067,-1.47,-3.5623659545137,1.19847951446344,1.45538331354365
"Quadratic_Lincosamides",-1.14378361178067,-1,-3.5623659545137,1.19847951446344,1.45538331354365
"Quadratic_Macrolides",-0.867831919661425,-0.87,-2.85960731665657,1.24776887293884,1.07293042430944
"Quadratic_Monobactams",-0.540613570745761,-0.72,-3.35813113639316,2.20780115891586,1.99825251283376
"Quadratic_Nitrofurans",-0.530206451045916,-0.68,-3.32546915320324,1.87273631380733,1.71296506533613
"Quadratic_Other",-0.514442544861421,-0.56,-3.11171382133098,2.37315483397408,1.96013609470712
"Quadratic_Penicillins",0.241524480547023,0.35,-1.48721290047589,2.11493072912781,0.84111966901946
"Quadratic_Polymyxins",0.283639231919685,0.94,-2.88461900805047,3.61245273946362,2.74585156799358
"Quadratic_Quinolones",-3.98960692434754,-4.23,-5.70992731006825,-1.96280926888639,0.911771045948998
"Quadratic_Quinolones",-3.98960692434754,-3.71,-5.70992731006825,-1.96280926888639,0.911771045948998
"Quadratic_Steroins",-1.76393432844214,-2.16,-5.37441763656853,1.49225610485682,3.04883007700237
"Quadratic_Streptogramins",-1.42886047056268,-0.91,-5.16018707175099,2.13157195297607,3.30817654776969
"Quadratic_Sulfonamides and Trimethoprim",-0.761602997381456,-0.49,-2.64709398754332,1.21776842387618,0.985606247383337
"Quadratic_Sulfonamides and Trimethoprim",-0.761602997381456,-0.47,-2.64709398754332,1.21776842387618,0.985606247383337
"Quadratic_Tetracyclines",-0.997672381497537,-1.49,-3.15918850177369,1.0826482383072,1.18794343650953
"Intercept_Acinetobacter",-2.24765291375075,-2.2,-3.3007162482516,-1.29803047086198,0.25476654783448
"Intercept_Acinetobacter",-2.24765291375075,-2.16,-3.3007162482516,-1.29803047086198,0.25476654783448
"Intercept_Aerococcus",-1.93267990688021,-2.03,-3.09417145849835,-0.54416887432257,0.401301383752211
"Intercept_Campylobacter",-2.16082767520725,-2.11,-3.43526383615084,-0.884625800337661,0.400856677382015
"Intercept_Campylobacter",-2.16082767520725,-2.08,-3.43526383615084,-0.884625800337661,0.400856677382015
"Intercept_Citrobacter",-2.54149834520278,-2.6,-3.60119424177135,-1.56213796965404,0.263399318570341
"Intercept_Clostridium",-2.15342747785994,-2.16,-3.21434786848816,-1.05246762558156,0.297262415165198
"Intercept_Cutibacterium",-2.07262080047785,-2.51,-3.40922689576755,-0.836646574880859,0.401483619821932
"Intercept_Enterobacter",-2.27756444991612,-2.3,-3.16413317143416,-1.39230935016557,0.200149403359248
"Intercept_Enterococcus",-1.93271194636559,-2.06,-2.85271753946921,-0.93072109986045,0.236355983543445
"Intercept_Escherichia",-2.55556390029619,-2.64,-3.35731704587595,-1.71201869078865,0.172171540242439
"Intercept_Haemophilus",-2.71528451523638,-2.54,-3.77025778699285,-1.7182330681931,0.279588323170072
"Intercept_Helicobacter",-2.52062747556463,-2.4,-3.50628572320463,-1.6452067837456,0.228535785590684
