Paper,Coder
149,B = isoniazid_M.tuberculosis_Isoniazid; C = rifampicin_M.tuberculosis_Rifampicin; D = rifabutin_M.tuberculosis_Rifabutin; E = ethambutol_M.tuberculosis_Ethambutol; F = pyrazinamide_M.tuberculosis_Pyrazinamide; G = kanamycin_M.tuberculosis_Kanamycin; H = amikacin_M.tuberculosis_Amikacin; I = capreomycin_M.tuberculosis_Capreomycin; J = streptomycin_M.tuberculosis_Streptomycin; K = levofloxacin_M.tuberculosis_Levofloxacin; L = moxifloxacin_M.tuberculosis_Moxifloxacin; M = ofloxacin_M.tuberculosis_Ofloxacin; N = protionamide_M.tuberculosis_Prothionamide; O = cycloserine_M.tuberculosis_Cycloserine; P = 4-aminosalicylic acid_M.tuberculosis_Para-aminosalicylic acid; S = MDR TB_M.tuberculosis_MDR (rifampicin+isoniazid)
150,A = clarithromycin_H.pylori_Clarithromycin; B = metronidazole_H.pylori_Metronidazole
151,A = moxifloxacin_C.dificile_moxifloxacin (MXF); B = clindamycin_C.dificile_clindamycin (CLI); C = tetracycline_C.dificile_tetracycline (TET); D = erythromycin_C.dificile_erythromycin (ERY); E = levofloxacin_C.dificile_levofloxacin (LVX); F = ciprofloxacin_C.dificile_ciprofloxacin (CIP); G = chloramphenicol_C.dificile_chloramphenicol (CHL); H = meropenem_C.dificile_meropenem (MEM); I = rifampicin_C.dificile_rifampin (RIF); J = MDR 3_C.dificile_MDR (resistance to at least three antibiotic classes)
152,"A = erythromycin_Streptococcus_Erythromycin, Beta haemolytic streptococci (GAS/S.pyogenes, GBS/S.agalactiae, GGS/ S.dysgalactiae); B = clindamycin_Streptococcus_Clindamycin; C = levofloxacin_Streptococcus_Levofloxacin, Beta haemolytic streptococci (GAS/S.pyogenes, GBS/S.agalactiae, GGS/ S.dysgalactiae)"
153,A = amoxicillin_Citrobacter_Amoxicillin; B = amoxicillin and beta-lactamase inhibitor_Citrobacter_Amoxicillin-clavulanic acid; C = ticarcillin_Citrobacter_Ticarcillin; D = ticarcillin and beta-lactamase inhibitor_Citrobacter_Ticarcillin clavulanic acid; E = piperacillin_Citrobacter_Piperacillin; F = cefoxitin_Citrobacter_Cefoxitin; G = cefotaxime_Citrobacter_Cefotaxime; H = ceftazidime_Citrobacter_Ceftazidime; I = cefepime_Citrobacter_Cefepime; J = aztreonam_Citrobacter_Aztreonam; K = gentamicin_Citrobacter_Gentamicin; L = tobramycin_Citrobacter_Tobramycin; M = netilmicin_Citrobacter_Netilmicine; N = tetracycline_Citrobacter_Tetracycline; O = sulfamethoxazole and trimethoprim_Citrobacter_TMP-SMX; P = nalidixic acid_Citrobacter_Nalidixic acid; Q = ofloxacin_Citrobacter_Ofloxacin; R = ciprofloxacin_Citrobacter_Ciprofloxacin; S = levofloxacin_Citrobacter_Levofloxacin; T = amoxicillin_Enterobacter_Amoxicillin; U = amoxicillin and beta-lactamase inhibitor_Enterobacter_Amoxicillin-clavulanic acid; V = ticarcillin_Enterobacter_Ticarcillin; W = ticarcillin and beta-lactamase inhibitor_Enterobacter_Ticarcillin clavulanic acid; X = piperacillin_Enterobacter_Piperacillin; Y = cefoxitin_Enterobacter_Cefoxitin; Z = cefotaxime_Enterobacter_Cefotaxime; AA = ceftazidime_Enterobacter_Ceftazidime; AB = cefepime_Enterobacter_Cefepime; AC = aztreonam_Enterobacter_Aztreonam; AD = gentamicin_Enterobacter_Gentamicin; AE = tobramycin_Enterobacter_Tobramycin; AF = netilmicin_Enterobacter_Netilmicine; AG = amikacin_Enterobacter_Amikacin; AH = chloramphenicol_Enterobacter_Chloramphenicol; AI = tetracycline_Enterobacter_Tetracycline; AJ = sulfamethoxazole and trimethoprim_Enterobacter_TMP-SMX; AK = nalidixic acid_Enterobacter_Nalidixic acid; AL = ofloxacin_Enterobacter_Ofloxacin; AM = ciprofloxacin_Enterobacter_Ciprofloxacin; AN = levofloxacin_Enterobacter_Levofloxacin; AO = fosfomycin_Enterobacter_Fosfomycin; AP = amoxicillin_Escherichia_Amoxicillin; AQ = amoxicillin and beta-lactamase inhibitor_Escherichia_Amoxicillin-clavulanic acid; AR = ticarcillin_Escherichia_Ticarcillin; AS = ticarcillin and beta-lactamase inhibitor_Escherichia_Ticarcillin clavulanic acid; AT = piperacillin_Escherichia_Piperacillin; AU = piperacillin and beta-lactamase inhibitor_Escherichia_Piperacillin tazobactam; AV = cefoxitin_Escherichia_Cefoxitin; AW = cefotaxime_Escherichia_Cefotaxime; AX = ceftazidime_Escherichia_Ceftazidime; AY = cefepime_Escherichia_Cefepime; AZ = aztreonam_Escherichia_Aztreonam; BA = imipenem and cilastatin_Escherichia_Imipenem; BB = ertapenem_Escherichia_Ertapenem; BC = gentamicin_Escherichia_Gentamicin; BD = tobramycin_Escherichia_Tobramycin; BE = netilmicin_Escherichia_Netilmicine; BF = amikacin_Escherichia_Amikacin; BG = chloramphenicol_Escherichia_Chloramphenicol; BH = tetracycline_Escherichia_Tetracycline; BI = sulfamethoxazole and trimethoprim_Escherichia_TMP-SMX; BJ = nalidixic acid_Escherichia_Nalidixic acid; BK = ofloxacin_Escherichia_Ofloxacin; BL = ciprofloxacin_Escherichia_Ciprofloxacin; BM = levofloxacin_Escherichia_Levofloxacin; BN = amoxicillin_Klebsiella_Amoxicillin; BO = amoxicillin and beta-lactamase inhibitor_Klebsiella_Amoxicillin-clavulanic acid; BP = ticarcillin_Klebsiella_Ticarcillin; BQ = ticarcillin and beta-lactamase inhibitor_Klebsiella_Ticarcillin clavulanic acid; BR = piperacillin_Klebsiella_Piperacillin; BS = piperacillin and beta-lactamase inhibitor_Klebsiella_Piperacillin tazobactam; BT = cefoxitin_Klebsiella_Cefoxitin; BU = cefotaxime_Klebsiella_Cefotaxime; BV = ceftazidime_Klebsiella_Ceftazidime; BW = cefepime_Klebsiella_Cefepime; BX = aztreonam_Klebsiella_Aztreonam; BY = imipenem and cilastatin_Klebsiella_Imipenem; BZ = ertapenem_Klebsiella_Ertapenem; CA = gentamicin_Klebsiella_Gentamicin; CB = tobramycin_Klebsiella_Tobramycin; CC = netilmicin_Klebsiella_Netilmicine; CD = amikacin_Klebsiella_Amikacin; CE = chloramphenicol_Klebsiella_Chloramphenicol; CF = tetracycline_Klebsiella_Tetracycline; CG = sulfamethoxazole and trimethoprim_Klebsiella_TMP-SMX; CH = nalidixic acid_Klebsiella_Nalidixic acid; CI = ofloxacin_Klebsiella_Ofloxacin; CJ = ciprofloxacin_Klebsiella_Ciprofloxacin; CK = levofloxacin_Klebsiella_Levofloxacin; CL = fosfomycin_Klebsiella_Fosfomycin; CM = amoxicillin_Morganella_Amoxicillin; CN = amoxicillin and beta-lactamase inhibitor_Morganella_Amoxicillin-clavulanic acid; CO = ticarcillin_Morganella_Ticarcillin; CP = ticarcillin and beta-lactamase inhibitor_Morganella_Ticarcillin clavulanic acid; CQ = piperacillin_Morganella_Piperacillin; CR = piperacillin and beta-lactamase inhibitor_Morganella_Piperacillin tazobactam; CS = cefoxitin_Morganella_Cefoxitin; CT = cefotaxime_Morganella_Cefotaxime; CU = ceftazidime_Morganella_Ceftazidime; CV = gentamicin_Morganella_Gentamicin; CW = tobramycin_Morganella_Tobramycin; CX = netilmicin_Morganella_Netilmicine; CY = chloramphenicol_Morganella_Chloramphenicol; CZ = tetracycline_Morganella_Tetracycline; DA = sulfamethoxazole and trimethoprim_Morganella_TMP-SMX; DB = nalidixic acid_Morganella_Nalidixic acid; DC = ofloxacin_Morganella_Ofloxacin; DD = ciprofloxacin_Morganella_Ciprofloxacin; DE = levofloxacin_Morganella_Levofloxacin; DF = fosfomycin_Morganella_Fosfomycin; DG = amoxicillin_Proteus_Amoxicillin; DH = amoxicillin and beta-lactamase inhibitor_Proteus_Amoxicillin-clavulanic acid; DI = ticarcillin_Proteus_Ticarcillin; DJ = ticarcillin and beta-lactamase inhibitor_Proteus_Ticarcillin clavulanic acid; DK = piperacillin_Proteus_Piperacillin; DL = cefotaxime_Proteus_Cefotaxime; DM = cefepime_Proteus_Cefepime; DN = aztreonam_Proteus_Aztreonam; DO = chloramphenicol_Proteus_Chloramphenicol; DP = tetracycline_Proteus_Tetracycline; DQ = sulfamethoxazole and trimethoprim_Proteus_TMP-SMX; DR = nalidixic acid_Proteus_Nalidixic acid; DS = ofloxacin_Proteus_Ofloxacin; DT = ciprofloxacin_Proteus_Ciprofloxacin; DU = levofloxacin_Proteus_Levofloxacin; DV = amoxicillin_Providencia_Amoxicillin; DW = amoxicillin and beta-lactamase inhibitor_Providencia_Amoxicillin-clavulanic acid; DX = ticarcillin_Providencia_Ticarcillin; DY = piperacillin_Providencia_Piperacillin; DZ = cefoxitin_Providencia_Cefoxitin; EA = cefotaxime_Providencia_Cefotaxime; EB = ceftazidime_Providencia_Ceftazidime; EC = cefepime_Providencia_Cefepime; ED = aztreonam_Providencia_Aztreonam; EE = gentamicin_Providencia_Gentamicin; EF = tobramycin_Providencia_Tobramycin; EG = netilmicin_Providencia_Netilmicine; EH = chloramphenicol_Providencia_Chloramphenicol; EI = tetracycline_Providencia_Tetracycline; EJ = sulfamethoxazole and trimethoprim_Providencia_TMP-SMX; EK = nalidixic acid_Providencia_Nalidixic acid; EL = ofloxacin_Providencia_Ofloxacin; EM = ciprofloxacin_Providencia_Ciprofloxacin; EN = levofloxacin_Providencia_Levofloxacin; EO = fosfomycin_Providencia_Fosfomycin; EP = ESBL_Multiple_ESBL-Enterobacteriaceae
154,A = ciprofloxacin_E.coli_Ciprofloxacin; B = sulfamethoxazole and trimethoprim_E.coli_TMP-SMX; C = cefazolin_E.coli_Cefazolin; D = cefpodoxime_E.coli_Cefpodoxime; E = ceftriaxone_E.coli_Ceftriaxone; F = nitrofurantoin_E.coli_Nitrofurantoin; G = ampicillin_E.coli_Ampicillin; H = amoxicillin and beta-lactamase inhibitor_E.coli_Amoxicillin- clavulanate; I = fosfomycin_E.coli_Fosfomycin; J = ESBL_E.coli_ESBL; K = MDR 3_E.coli_MDR (3 or more antimicrobial classes)
155,"A = fosfomycin_Multiple_Fosfomycin, Gram negative isolates (E. coli was the most common isolate, found in 800 (53.2%) cases, followed by Klebsiella spp. in 305 (20.3%) cases, Proteus spp. in 141 (9.4%) cases, and Pseudomonas aeruginosa in 112 (7.4%) cases.)"
156,"A = Any_Multiple_Any (for the most commonly prescribed antibiotics in the hospital were included, such as penicillin (piperacillin, amoxicillin, ampicillin, oxacillin amoxicillin/clavulanate, piperacillin/tazobactam, ticarcillin/clavulanate), cephalosporin (ceftriaxone, ceftazidime, cefepime, cefuroxime, cefotaxime, cefoxitin, cefazolin, ceftazidime/clavulanic acid), aminoglycoside (amikacin, gentamicin, tobramycin), fluoroquinolone (levofloxacin, ciprofloxacin, oxacillin, moxifloxacin,), macrolide (josamycin, azithromycin, roxithromycin, erythromycin), carbapenem (ertapenem, meropenem, imipenem), lincomycin (lincomycin, clindamycin), sulfonamide (trimethoprim/sulphonamide), tetracycline (doxycycline, tetracycline, minocycline), peptidoglycan (fosfomycin), colistin, chloramphenicol, oxazolidinone, monobactam, vancomycin, nitrofurantoin), Multiple (All frequent Gram-positive and Gram-negative bacteria)"
158,"A = MDR 3_Multiple_MDR (doesnt give a definition but resistance was tested for ESBL, Levofloxacin, Imipenem, Ceftazidime, Cefotaxime, Cefoperazone/sulbactam, Cefoperazone, Cefuroxime, Cefepime, Gentamicin, Piperacillin/tazobactam, Piperacillin, Minocycline, Ciprofloxacin, SMZ-TMP, Aztreonam, Ampicillin and  Amikacin in Gram negative bacteria and for Penicillin, Amoxicillin/clavulanate, Azithromycin, Ceftriaxone, Erythromycin, SMZ-TMP, Amikacin, Teicoplanin, Oxacillin, Vancomycin, Linezolid, Clindamycin, Levofloxacin, Cefuroxime in Gram positive bacteria), Multiple (Klebsiella pneumoniae (32), Escherichia coli (21), Pseudomonas aeruginosa (12), Haemophilus influenzae (9), Acinetobacter baumannii (6), Enterobacter cloacae (3), Serratia marcescens (2), Staphylococcus aureus (14), Streptococcus pneumoniae (11), Streptococcus pyogenes (2), Candida albicans (4), Candida tropicalis (1))"
159,A = penicillin_S.pneumoniae_Penicillin
