year,age,population
2022,0,130904.542
2022,1,130519.393
2022,2,132047.198
2022,3,133853.549
2022,4,135781.617
2022,5,137269.212
2022,6,136916.722
2022,7,136750.787
2022,8,136767.997
2022,9,136714.628
2022,10,135820.909
2022,11,134195.144
2022,12,133361.462
2022,13,132351.856
2022,14,130760.53
2022,15,128775.125
2022,16,126970.595
2022,17,125634.242
2022,18,124369.375
2022,19,123267.327
2022,20,122547.746
2022,21,122121.007
2022,22,120888.568
2022,23,119397.4
2022,24,118822.019
2022,25,118569.814
2022,26,118547.485
2022,27,118454.482
2022,28,118252.428
2022,29,118424.167
2022,30,119216.272
2022,31,121845.137
2022,32,123001.204
2022,33,121152.94
2022,34,120163.814
2022,35,118876.848
2022,36,116025.052
2022,37,113114.621
2022,38,110530.939
2022,39,109607.609
2022,40,108254.171
2022,41,105270.223
2022,42,102435.371
2022,43,99156.462
2022,44,96426.181
2022,45,95324.678
2022,46,94827.605
2022,47,94811.469
2022,48,95168.236
2022,49,94730.935
2022,50,94138.358
2022,51,93767.776
2022,52,92234.155
2022,53,90314.205
2022,54,87008.72
2022,55,83871.333
2022,56,83274.706
2022,57,82318.472
2022,58,81916.459
2022,59,78679.881
2022,60,70404.503
2022,61,65247.736
2022,62,63720.284
2022,63,62978.168
2022,64,63234.658
2022,65,61333.319
2022,66,58851.464
2022,67,56906.005
2022,68,53879.089
2022,69,51252.595
2022,70,48477.849
2022,71,45207.8
2022,72,42049.916
2022,73,38743.038
2022,74,35768.719
2022,75,32692.311
2022,76,28824.563
2022,77,25775.507
2022,78,23962.885
2022,79,22220.132
2022,80,20717.554
2022,81,19248.878
2022,82,17432.987
2022,83,15644.497
2022,84,14030.982
2022,85,12368.819
2022,86,10724.099
2022,87,9137.509
2022,88,7750.944
2022,89,6524.425
2022,90,5407.332
2022,91,4449.73
2022,92,3579.527
2022,93,2785.122
2022,94,2113.995
2022,95,1580.662
2022,96,1153.563
2022,97,814.764
2022,98,571.011
2022,99,384.236
2022,100,632.813
2023,0,131126.96
2023,1,130026.088
2023,2,130114.109
2023,3,131755.633
2023,4,133617.391
2023,5,135581.755
2023,6,137098.267
2023,7,136770.032
2023,8,136624.537
2023,9,136656.466
2023,10,136613.378
2023,11,135723.927
2023,12,134099.062
2023,13,133261.858
2023,14,132246.358
2023,15,130645.352
2023,16,128647.226
2023,17,126827.104
2023,18,125493.018
2023,19,124206.433
2023,20,123087.359
2023,21,122367.88
2023,22,121947.954
2023,23,120725.647
2023,24,119246.902
2023,25,118681.683
2023,26,118431.06
2023,27,118404.515
2023,28,118305.538
2023,29,118096.132
2023,30,118258.166
2023,31,119038.124
2023,32,121651.496
2023,33,122791.481
2023,34,120928.302
2023,35,119923.898
2023,36,118623.74
2023,37,115761.678
2023,38,112839.976
2023,39,110243.948
2023,40,109305.316
2023,41,107937.81
2023,42,104941.539
2023,43,102096.413
2023,44,98807.488
2023,45,96065.686
2023,46,94947.405
2023,47,94430.766
2023,48,94389.359
2023,49,94715.386
2023,50,94242.851
2023,51,93611.701
2023,52,93198.719
2023,53,91628.692
2023,54,89673.666
2023,55,86341.304
2023,56,83175.947
2023,57,82537.712
2023,58,81536.592
2023,59,81079.276
2023,60,77799.527
2023,61,69518.648
2023,62,64337.524
2023,63,62758.027
2023,64,61953.366
2023,65,62132.846
2023,66,60180.006
2023,67,57656.603
2023,68,55662.683
2023,69,52602.785
2023,70,49924.505
2023,71,47107.51
2023,72,43819.526
2023,73,40648.232
2023,74,37352.311
2023,75,34379.596
2023,76,31306.383
2023,77,27483.422
2023,78,24464.145
2023,79,22639.8
2023,80,20871.543
2023,81,19326.688
2023,82,17827.693
2023,83,16014.615
2023,84,14240.417
2023,85,12650.939
2023,86,11047.724
2023,87,9483.363
2023,88,7993.73
2023,89,6699.891
2023,90,5563.84
2023,91,4542.41
2023,92,3674.883
2023,93,2902.126
2023,94,2212.497
2023,95,1644.525
2023,96,1203.722
2023,97,857.831
2023,98,590.437
2023,99,403.483
2023,100,677.586
2024,0,131435.372
2024,1,130270.905
2024,2,129621.81
2024,3,129823.573
2024,4,131520.554
2024,5,133418.662
2024,6,135412.12
2024,7,136952.472
2024,8,136644.628
2024,9,136513.981
2024,10,136556.204
2024,11,136517.169
2024,12,135628.487
2024,13,134000.598
2024,14,133158.125
2024,15,132133.718
2024,16,130520.894
2024,17,128508.211
2024,18,126691.393
2024,19,125336.226
2024,20,124033.19
2024,21,122914.682
2024,22,122202.182
2024,23,121791.925
2024,24,120582.041
2024,25,119114.437
2024,26,118551.72
2024,27,118297.423
2024,28,118264.81
2024,29,118158.747
2024,30,117940.754
2024,31,118092.014
2024,32,118858.775
2024,33,121456.019
2024,34,122579.898
2024,35,120703.161
2024,36,119686.709
2024,37,118375.714
2024,38,115503.257
2024,39,112570.705
2024,40,109961.523
2024,41,109009.167
2024,42,107628.949
2024,43,104622.848
2024,44,101767.577
2024,45,98469.617
2024,46,95716.599
2024,47,94582.258
2024,48,94043.803
2024,49,93975.531
2024,50,94267.948
2024,51,93760.189
2024,52,93091.448
2024,53,92640.387
2024,54,91037.156
2024,55,89052.254
2024,56,85696.201
2024,57,82506.183
2024,58,81826.277
2024,59,80779.453
2024,60,80263.865
2024,61,76940.467
2024,62,68660.918
2024,63,63461.821
2024,64,61832.109
2024,65,60968.302
2024,66,61072.48
2024,67,59072.717
2024,68,56511.842
2024,69,54466.887
2024,70,51362.469
2024,71,48638.728
2024,72,45790.991
2024,73,42487.165
2024,74,39302.099
2024,75,36013.793
2024,76,33043.694
2024,77,29972.231
2024,78,26189.726
2024,79,23199.137
2024,80,21361.808
2024,81,19574.082
2024,82,18000.174
2024,83,16480.648
2024,84,14682.367
2024,85,12937.343
2024,86,11384.577
2024,87,9843.061
2024,88,8358.745
2024,89,6960.694
2024,90,5755.542
2024,91,4706.407
2024,92,3778.731
2024,93,3000.005
2024,94,2321.849
2024,95,1732.898
2024,96,1259.496
2024,97,900.742
2024,98,625.665
2024,99,419.012
2024,100,722.074
2025,0,131682.877
2025,1,130587.814
2025,2,129865.652
2025,3,129329.88
2025,4,129587.804
2025,5,131321.689
2025,6,133249.201
2025,7,135266.799
2025,8,136827.233
2025,9,136534.34
2025,10,136414.158
2025,11,136460.47
2025,12,136421.976
2025,13,135529.983
2025,14,133897.001
2025,15,133045.566
2025,16,132009.095
2025,17,130381.465
2025,18,128372.077
2025,19,126534.285
2025,20,125162.591
2025,21,123860.212
2025,22,122748.771
2025,23,122045.871
2025,24,121647.496
2025,25,120448.602
2025,26,118984.458
2025,27,118418.914
2025,28,118158.978
2025,29,118119.038
2025,30,118004.374
2025,31,117776.265
2025,32,117915.08
2025,33,118667.234
2025,34,121247.534
2025,35,122355.746
2025,36,120467.638
2025,37,119440.345
2025,38,118117.32
2025,39,115233.711
2025,40,112288.389
2025,41,109666.954
2025,42,108701.164
2025,43,107309.132
2025,44,104292.471
2025,45,101426.799
2025,46,98118.781
2025,47,95353.605
2025,48,94199.348
2025,49,93635.767
2025,50,93535.966
2025,51,93792.215
2025,52,93247.322
2025,53,92542.174
2025,54,92053.333
2025,55,90418.704
2025,56,88403.778
2025,57,85023.872
2025,58,81806.121
2025,59,81079.798
2025,60,79980.953
2025,61,79400.963
2025,62,76032.208
2025,63,67758.606
2025,64,62543.806
2025,65,60864.686
2025,66,59941.035
2025,67,59969.989
2025,68,57924.069
2025,69,55320.906
2025,70,53210.544
